Setup,Activation,LearningRate,Epochs,SNR(dB),SpectralEfficiency
-20db,relu,0.001,1000,-20,0.03237277269363403
-20db,relu,0.001,1000,-15,0.09875941276550293
-20db,relu,0.001,1000,-10,0.2834114730358124
-20db,relu,0.001,1000,-5,0.7193503379821777
-20db,relu,0.001,1000,0,1.5300978422164917
-20db,relu,0.001,1000,5,2.7112438678741455
-20db,relu,0.001,1000,10,4.144885540008545
-20db,relu,0.001,1000,15,5.709476947784424
-20db,relu,0.001,1000,20,7.3318047523498535
0db,relu,0.001,1000,-20,0.31591686606407166
0db,relu,0.001,1000,-15,0.7408657670021057
0db,relu,0.001,1000,-10,1.4411431550979614
0db,relu,0.001,1000,-5,2.4091591835021973
0db,relu,0.001,1000,0,3.620523452758789
0db,relu,0.001,1000,5,5.025907516479492
0db,relu,0.001,1000,10,6.557911396026611
0db,relu,0.001,1000,15,8.158833503723145
0db,relu,0.001,1000,20,9.792814254760742
20db,relu,0.001,1000,-20,0.47468018531799316
20db,relu,0.001,1000,-15,1.0934476852416992
20db,relu,0.001,1000,-10,2.0634868144989014
20db,relu,0.001,1000,-5,3.3049886226654053
20db,relu,0.001,1000,0,4.727911949157715
20db,relu,0.001,1000,5,6.264774799346924
20db,relu,0.001,1000,10,7.866652965545654
20db,relu,0.001,1000,15,9.501688957214355
20db,relu,0.001,1000,20,11.152106285095215
Lest1,relu,0.001,1000,-20,0.2314905822277069
Lest1,relu,0.001,1000,-15,0.5607764720916748
Lest1,relu,0.001,1000,-10,1.1499241590499878
Lest1,relu,0.001,1000,-5,2.038128614425659
Lest1,relu,0.001,1000,0,3.2103803157806396
Lest1,relu,0.001,1000,5,4.5998992919921875
Lest1,relu,0.001,1000,10,6.126128673553467
Lest1,relu,0.001,1000,15,7.726306438446045
Lest1,relu,0.001,1000,20,9.362009048461914
Lest2,relu,0.001,1000,-20,0.4992349147796631
Lest2,relu,0.001,1000,-15,1.1473581790924072
Lest2,relu,0.001,1000,-10,2.161865711212158
Lest2,relu,0.001,1000,-5,3.457979679107666
Lest2,relu,0.001,1000,0,4.932892799377441
Lest2,relu,0.001,1000,5,6.507413387298584
Lest2,relu,0.001,1000,10,8.130784034729004
Lest2,relu,0.001,1000,15,9.7759428024292
Lest2,relu,0.001,1000,20,11.43038272857666
