Setup,Activation,LearningRate,Epochs,SNR(dB),SpectralEfficiency
0db,relu,0.001,100,-20,0.31917858123779297
0db,relu,0.001,100,-15,0.7467753291130066
0db,relu,0.001,100,-10,1.448309063911438
0db,relu,0.001,100,-5,2.413789749145508
0db,relu,0.001,100,0,3.6172261238098145
0db,relu,0.001,100,5,5.011257171630859
0db,relu,0.001,100,10,6.5340423583984375
0db,relu,0.001,100,15,8.131053924560547
0db,relu,0.001,100,20,9.764581680297852
0db,relu,0.001,500,-20,0.31055572628974915
0db,relu,0.001,500,-15,0.7288623452186584
0db,relu,0.001,500,-10,1.419909954071045
0db,relu,0.001,500,-5,2.378851890563965
0db,relu,0.001,500,0,3.584726572036743
0db,relu,0.001,500,5,4.9890265464782715
0db,relu,0.001,500,10,6.5227508544921875
0db,relu,0.001,500,15,8.126969337463379
0db,relu,0.001,500,20,9.76469898223877
0db,relu,0.001,1000,-20,0.3157949149608612
0db,relu,0.001,1000,-15,0.7406144142150879
0db,relu,0.001,1000,-10,1.4405816793441772
0db,relu,0.001,1000,-5,2.406917095184326
0db,relu,0.001,1000,0,3.613307237625122
0db,relu,0.001,1000,5,5.0105438232421875
0db,relu,0.001,1000,10,6.5344038009643555
0db,relu,0.001,1000,15,8.130843162536621
0db,relu,0.001,1000,20,9.764540672302246
0db,relu,0.0001,100,-20,0.3017686903476715
0db,relu,0.0001,100,-15,0.7125374674797058
0db,relu,0.0001,100,-10,1.396304965019226
0db,relu,0.0001,100,-5,2.34649395942688
0db,relu,0.0001,100,0,3.5381739139556885
0db,relu,0.0001,100,5,4.925704479217529
0db,relu,0.0001,100,10,6.445906162261963
0db,relu,0.0001,100,15,8.041983604431152
0db,relu,0.0001,100,20,9.67587661743164
0db,relu,0.0001,500,-20,0.30901262164115906
0db,relu,0.0001,500,-15,0.7264674305915833
0db,relu,0.0001,500,-10,1.4170033931732178
0db,relu,0.0001,500,-5,2.3733201026916504
0db,relu,0.0001,500,0,3.571655511856079
0db,relu,0.0001,500,5,4.965148448944092
0db,relu,0.0001,500,10,6.488204479217529
0db,relu,0.0001,500,15,8.084104537963867
0db,relu,0.0001,500,20,9.716392517089844
0db,relu,0.0001,1000,-20,0.3067326545715332
0db,relu,0.0001,1000,-15,0.7214018702507019
0db,relu,0.0001,1000,-10,1.407378077507019
0db,relu,0.0001,1000,-5,2.3569705486297607
0db,relu,0.0001,1000,0,3.5465309619903564
0db,relu,0.0001,1000,5,4.931581974029541
0db,relu,0.0001,1000,10,6.449024677276611
0db,relu,0.0001,1000,15,8.04195499420166
0db,relu,0.0001,1000,20,9.67302417755127
0db,relu,1e-05,100,-20,0.2505742907524109
0db,relu,1e-05,100,-15,0.6104359030723572
0db,relu,1e-05,100,-10,1.2399603128433228
0db,relu,1e-05,100,-5,2.1476218700408936
0db,relu,1e-05,100,0,3.310969829559326
0db,relu,1e-05,100,5,4.682572841644287
0db,relu,1e-05,100,10,6.194741249084473
0db,relu,1e-05,100,15,7.7854719161987305
0db,relu,1e-05,100,20,9.414729118347168
0db,relu,1e-05,500,-20,0.2951560914516449
0db,relu,1e-05,500,-15,0.6989619135856628
0db,relu,1e-05,500,-10,1.3749028444290161
0db,relu,1e-05,500,-5,2.3199799060821533
0db,relu,1e-05,500,0,3.510885715484619
0db,relu,1e-05,500,5,4.900300979614258
0db,relu,1e-05,500,10,6.422371864318848
0db,relu,1e-05,500,15,8.018651008605957
0db,relu,1e-05,500,20,9.65100383758545
0db,relu,1e-05,1000,-20,0.2944120168685913
0db,relu,1e-05,1000,-15,0.6983925700187683
0db,relu,1e-05,1000,-10,1.3768426179885864
0db,relu,1e-05,1000,-5,2.32676362991333
0db,relu,1e-05,1000,0,3.5213260650634766
0db,relu,1e-05,1000,5,4.9111104011535645
0db,relu,1e-05,1000,10,6.431797504425049
0db,relu,1e-05,1000,15,8.027369499206543
0db,relu,1e-05,1000,20,9.660839080810547
0db,tanh,0.001,100,-20,0.3213016390800476
0db,tanh,0.001,100,-15,0.7496365308761597
0db,tanh,0.001,100,-10,1.4510198831558228
0db,tanh,0.001,100,-5,2.417750358581543
0db,tanh,0.001,100,0,3.625873327255249
0db,tanh,0.001,100,5,5.026514053344727
0db,tanh,0.001,100,10,6.5543317794799805
0db,tanh,0.001,100,15,8.153429985046387
0db,tanh,0.001,100,20,9.788150787353516
0db,tanh,0.001,500,-20,0.3288428485393524
0db,tanh,0.001,500,-15,0.7640882730484009
0db,tanh,0.001,500,-10,1.472193956375122
0db,tanh,0.001,500,-5,2.4429876804351807
0db,tanh,0.001,500,0,3.652212142944336
0db,tanh,0.001,500,5,5.052320957183838
0db,tanh,0.001,500,10,6.579731464385986
0db,tanh,0.001,500,15,8.179142951965332
0db,tanh,0.001,500,20,9.813935279846191
0db,tanh,0.001,1000,-20,0.32337602972984314
0db,tanh,0.001,1000,-15,0.7533053159713745
0db,tanh,0.001,1000,-10,1.4568413496017456
0db,tanh,0.001,1000,-5,2.429047107696533
0db,tanh,0.001,1000,0,3.648510217666626
0db,tanh,0.001,1000,5,5.063533782958984
0db,tanh,0.001,1000,10,6.603221893310547
0db,tanh,0.001,1000,15,8.208988189697266
0db,tanh,0.001,1000,20,9.845915794372559
0db,tanh,0.0001,100,-20,0.30535292625427246
0db,tanh,0.0001,100,-15,0.7180861830711365
0db,tanh,0.0001,100,-10,1.4037426710128784
0db,tanh,0.0001,100,-5,2.3613855838775635
0db,tanh,0.0001,100,0,3.569641590118408
0db,tanh,0.0001,100,5,4.977293014526367
0db,tanh,0.0001,100,10,6.513337135314941
0db,tanh,0.0001,100,15,8.117711067199707
0db,tanh,0.0001,100,20,9.754085540771484
0db,tanh,0.0001,500,-20,0.3145335614681244
0db,tanh,0.0001,500,-15,0.7367874979972839
0db,tanh,0.0001,500,-10,1.4340567588806152
0db,tanh,0.0001,500,-5,2.40305495262146
0db,tanh,0.0001,500,0,3.621032238006592
0db,tanh,0.0001,500,5,5.036208152770996
0db,tanh,0.0001,500,10,6.577927589416504
0db,tanh,0.0001,500,15,8.18678092956543
0db,tanh,0.0001,500,20,9.826610565185547
0db,tanh,0.0001,1000,-20,0.3146874010562897
0db,tanh,0.0001,1000,-15,0.7349697947502136
0db,tanh,0.0001,1000,-10,1.4240610599517822
0db,tanh,0.0001,1000,-5,2.374962568283081
0db,tanh,0.0001,1000,0,3.567169666290283
0db,tanh,0.0001,1000,5,4.955893516540527
0db,tanh,0.0001,1000,10,6.47719144821167
0db,tanh,0.0001,1000,15,8.074129104614258
0db,tanh,0.0001,1000,20,9.70846939086914
0db,tanh,1e-05,100,-20,0.1946524679660797
0db,tanh,1e-05,100,-15,0.4916844964027405
0db,tanh,1e-05,100,-10,1.0439649820327759
0db,tanh,1e-05,100,-5,1.880645990371704
0db,tanh,1e-05,100,0,2.987542152404785
0db,tanh,1e-05,100,5,4.319410800933838
0db,tanh,1e-05,100,10,5.807999610900879
0db,tanh,1e-05,100,15,7.388358116149902
0db,tanh,1e-05,100,20,9.015328407287598
0db,tanh,1e-05,500,-20,0.2729179561138153
0db,tanh,1e-05,500,-15,0.6552435755729675
0db,tanh,1e-05,500,-10,1.3097444772720337
0db,tanh,1e-05,500,-5,2.2402184009552
0db,tanh,1e-05,500,0,3.4230659008026123
0db,tanh,1e-05,500,5,4.808371543884277
0db,tanh,1e-05,500,10,6.327810764312744
0db,tanh,1e-05,500,15,7.9222612380981445
